name
"KALUPUR COMMERCIAL COOPERATIVE BANK","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"KALUPUR COMMERCIAL COOPERATIVE BANK",1
"KOZHIKODE DISTRICT COOPERATIAVE BANK LTD","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"KOZHIKODE DISTRICT COOPERATIAVE BANK LTD",1
"THE KALYAN JANATA SAHAKARI BANK LTD.",2022-05-10 18:35:52.864867"",2022-05-10 18:35:52.864867"","Administrator","Administrator",0,"","","",0,"THE KALYAN JANATA SAHAKARI BANK LTD.",1
"KOTAK MAHINDRA BANK LIMITED","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"KOTAK MAHINDRA BANK LIMITED",1
"KERALA GRAMIN BANK","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"KERALA GRAMIN BANK",1
"THE KURMANCHAL NAGAR SAHAKARI BANK LIMITED","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"THE KURMANCHAL NAGAR SAHAKARI BANK LIMITED",1
"KEB Hana Bank","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"KEB Hana Bank",1
"The Kolhapur Urban Co-op Bank Ltd","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"The Kolhapur Urban Co-op Bank Ltd",1
"The Kerala State Co Operative Bank Ltd","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"The Kerala State Co Operative Bank Ltd",1
"THE KARANATAKA STATE COOPERATIVE APEX BANK LIMITED","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"THE KARANATAKA STATE COOPERATIVE APEX BANK LIMITED",1
"THE KARAD URBAN COOPERATIVE BANK LIMITED","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"THE KARAD URBAN COOPERATIVE BANK LIMITED",1
"KARUR VYSYA BANK","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"KARUR VYSYA BANK",1
"KARNATAKA VIKAS GRAMEENA BANK","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"KARNATAKA VIKAS GRAMEENA BANK",1
"LAXMI VILAS BANK","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"LAXMI VILAS BANK",1
"BANK OF MAHARASHTRA","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"BANK OF MAHARASHTRA",1
"Maharashtra Gramin Bank","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"Maharashtra Gramin Bank",1
""GS Mah2022-05-10 18:35:52.864867ana2022-05-10 18:35:52.864867gar Co-operative Bank Limited, Mumbai"",2022-05-10 18:35:52.864867"",2022-05-10 18:35:52.864867"","Administrator","Administrator",0,"","","",0,""GS Mahanagar Co-operative Bank Limited, Mumbai"",1
"MODEL COOPERATIVE BANK LTD","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"MODEL COOPERATIVE BANK LTD",1
"THE MUMBAI DISTRICT CENTRAL COOPERATIVE BANK LIMITED","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"THE MUMBAI DISTRICT CENTRAL COOPERATIVE BANK LIMITED",1
"MIZUHO BANK LTD","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"MIZUHO BANK LTD",1
"The Malkapur Urban Co Operative Bank Ltd Malkapur","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"The Malkapur Urban Co Operative Bank Ltd Malkapur",1
"Mahesh Sahakari Bank Ltd Pune","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"Mahesh Sahakari Bank Ltd Pune",1
"MAHARASHTRA STATE COOPERATIVE BANK","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"MAHARASHTRA STATE COOPERATIVE BANK",1
"MASHREQBANK PSC","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"MASHREQBANK PSC",1
"The Muslim Co-operative Bank Ltd","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"The Muslim Co-operative Bank Ltd",1
"THE MEHSANA URBAN COOPERATIVE BANK","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"THE MEHSANA URBAN COOPERATIVE BANK",1
"THE MUNICIPAL COOPERATIVE BANK LIMITED","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"THE MUNICIPAL COOPERATIVE BANK LIMITED",1
"SIR M VISVESVARAYA CO OPERATIVE BANK LTD","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"SIR M VISVESVARAYA CO OPERATIVE BANK LTD",1
"FIRST ABU DHABI BANK PJSC","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"FIRST ABU DHABI BANK PJSC",1
"NATIONAL BANK FOR AGRICULTURE AND RURAL DEVELOPMENT","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"NATIONAL BANK FOR AGRICULTURE AND RURAL DEVELOPMENT",1
"THE NILAMBUR CO OPERATIVE URBAN BANK LTD NILAMBUR","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"THE NILAMBUR CO OPERATIVE URBAN BANK LTD NILAMBUR",1
"NORTH EAST SMALL FINANCE BANK LIMITED","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"NORTH EAST SMALL FINANCE BANK LIMITED",1
"NAGPUR NAGARIK SAHAKARI BANK LIMITED","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"NAGPUR NAGARIK SAHAKARI BANK LIMITED",1
"NEW INDIA COOPERATIVE BANK LIMITED","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"NEW INDIA COOPERATIVE BANK LIMITED",1
"NAV JEEVAN CO OP BANK LTD","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"NAV JEEVAN CO OP BANK LTD",1
"NKGSB COOPERATIVE BANK LIMITED","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"NKGSB COOPERATIVE BANK LIMITED",1
"THE NASIK MERCHANTS COOPERATIVE BANK LIMITED","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"THE NASIK MERCHANTS COOPERATIVE BANK LIMITED",1
"NUTAN NAGARIK SAHAKARI BANK LIMITED","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"NUTAN NAGARIK SAHAKARI BANK LIMITED",1
"THE BANK OF NOVA SCOTIA","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"THE BANK OF NOVA SCOTIA",1
"NSDL Payments Bank Limited","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"NSDL Payments Bank Limited",1
"THE NAINITAL BANK LIMITED","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"THE NAINITAL BANK LIMITED",1
